DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Servicio doméstico,2. Empleada(o) u obrera(o),3. Cuenta propia,4. Patrón(a) o empleador(a),5. Trabajador(a) familiar,9. Ignorado,0. __mv__,0. __na__,
0. __tot__,0. __tot__,21094987,1508897,11000194,6167491,970167,593051,855187,,24523800,
0. __tot__,1. Mujer,9050316,1411500,4309968,2369465,301456,257418,400509,,12992726,
0. __tot__,2. Mujer trans/travesti,22855,2413,10454,7284,952,636,1116,,37824,
0. __tot__,3. Varón,11314784,59627,6340197,3561319,629254,312621,411766,,9247303,
0. __tot__,4. Varón trans/masculinidad trans,24596,561,12261,8408,1598,884,884,,47914,
0. __tot__,5. No binario,17414,699,8509,6282,595,552,777,,19916,
0. __tot__,6. Otra identidad/ninguna de las anteriores,10056,389,5034,3386,444,307,496,,16381,
0. __tot__,7. Prefiero no contestar,34106,1206,16168,10020,1221,1029,4462,,35725,
0. __tot__,9. Ignorado,620860,32502,297603,201327,34647,19604,35177,,2126011,
2007. Comuna 1,0. __tot__,122689,7686,67150,34153,6348,2126,5226,,98312,
2007. Comuna 1,1. Mujer,56622,7209,29521,14092,2294,1023,2483,,50580,
2007. Comuna 1,2. Mujer trans/travesti,270,19,101,116,10,4,20,,205,
2007. Comuna 1,3. Varón,61224,323,35393,18420,3704,992,2392,,35883,
2007. Comuna 1,4. Varón trans/masculinidad trans,261,4,139,85,16,3,14,,494,
2007. Comuna 1,5. No binario,336,7,173,123,10,8,15,,140,
2007. Comuna 1,6. Otra identidad/ninguna de las anteriores,157,4,88,56,3,1,5,,120,
2007. Comuna 1,7. Prefiero no contestar,451,9,227,132,16,8,59,,220,
2007. Comuna 1,9. Ignorado,3368,111,1508,1129,295,87,238,,10670,
2014. Comuna 2,0. __tot__,88654,3037,49746,26548,4703,1395,3225,,71955,
2014. Comuna 2,1. Mujer,44708,2797,25294,12525,1793,681,1618,,39745,
2014. Comuna 2,2. Mujer trans/travesti,92,4,36,40,4,2,6,,95,
2014. Comuna 2,3. Varón,40733,126,22964,12961,2721,609,1352,,24784,
2014. Comuna 2,4. Varón trans/masculinidad trans,139,4,75,44,11,3,2,,185,
2014. Comuna 2,5. No binario,170,2,96,61,7,2,2,,112,
2014. Comuna 2,6. Otra identidad/ninguna de las anteriores,82,2,53,20,3,1,3,,79,
2014. Comuna 2,7. Prefiero no contestar,317,4,153,104,5,11,40,,192,
2014. Comuna 2,9. Ignorado,2413,98,1075,793,159,86,202,,6763,
2021. Comuna 3,0. __tot__,106686,5779,62626,27602,4233,1941,4505,,86851,
2021. Comuna 3,1. Mujer,51066,5358,29473,11371,1749,968,2147,,46132,
2021. Comuna 3,2. Mujer trans/travesti,175,11,77,66,8,3,10,,149,
2021. Comuna 3,3. Varón,51690,261,31260,15001,2251,885,2032,,31355,
2021. Comuna 3,4. Varón trans/masculinidad trans,204,3,110,69,14,3,5,,317,
2021. Comuna 3,5. No binario,285,11,171,81,12,4,6,,153,
2021. Comuna 3,6. Otra identidad/ninguna de las anteriores,137,6,77,35,10,2,7,,105,
2021. Comuna 3,7. Prefiero no contestar,346,11,177,98,7,7,46,,243,
2021. Comuna 3,9. Ignorado,2783,118,1281,881,182,69,252,,8397,
2028. Comuna 4,0. __tot__,116116,8428,66499,28783,4869,2360,5177,,110908,
2028. Comuna 4,1. Mujer,54669,7955,29907,11338,1841,1126,2502,,59284,
2028. Comuna 4,2. Mujer trans/travesti,124,11,46,49,6,2,10,,133,
2028. Comuna 4,3. Varón,58691,343,35297,16561,2867,1177,2446,,43425,
2028. Comuna 4,4. Varón trans/masculinidad trans,157,6,83,45,11,6,6,,151,
2028. Comuna 4,5. No binario,150,1,84,51,4,4,6,,87,
2028. Comuna 4,6. Otra identidad/ninguna de las anteriores,70,3,33,30,1,1,2,,50,
2028. Comuna 4,7. Prefiero no contestar,268,6,150,66,12,5,29,,177,
2028. Comuna 4,9. Ignorado,1987,103,899,643,127,39,176,,7601,
2035. Comuna 5,0. __tot__,109154,3819,67488,28378,4259,1679,3531,,83295,
2035. Comuna 5,1. Mujer,53405,3544,33528,12178,1645,792,1718,,44315,
2035. Comuna 5,2. Mujer trans/travesti,151,9,79,52,2,,9,,158,
2035. Comuna 5,3. Varón,51507,161,31793,14844,2356,782,1571,,29802,
2035. Comuna 5,4. Varón trans/masculinidad trans,166,1,86,58,12,4,5,,290,
2035. Comuna 5,5. No binario,338,9,188,113,10,8,10,,165,
2035. Comuna 5,6. Otra identidad/ninguna de las anteriores,152,3,86,43,7,3,10,,128,
2035. Comuna 5,7. Prefiero no contestar,406,7,218,119,14,5,43,,276,
2035. Comuna 5,9. Ignorado,3029,85,1510,971,213,85,165,,8161,
2042. Comuna 6,0. __tot__,112189,2554,68464,30788,5350,1761,3272,,89575,
2042. Comuna 6,1. Mujer,54398,2331,34321,13507,1809,851,1579,,46753,
2042. Comuna 6,2. Mujer trans/travesti,103,8,58,31,4,,2,,158,
2042. Comuna 6,3. Varón,52483,148,31416,15511,3206,777,1425,,30564,
2042. Comuna 6,4. Varón trans/masculinidad trans,219,5,113,74,18,3,6,,464,
2042. Comuna 6,5. No binario,253,6,142,87,6,4,8,,156,
2042. Comuna 6,6. Otra identidad/ninguna de las anteriores,187,4,103,58,9,5,8,,146,
2042. Comuna 6,7. Prefiero no contestar,390,6,213,107,15,10,39,,281,
2042. Comuna 6,9. Ignorado,4156,46,2098,1413,283,111,205,,11053,
2049. Comuna 7,0. __tot__,111821,4335,63872,31481,5087,2586,4460,,101441,
2049. Comuna 7,1. Mujer,52927,4040,30725,13078,1850,1228,2006,,53581,
2049. Comuna 7,2. Mujer trans/travesti,143,8,74,46,4,3,8,,143,
2049. Comuna 7,3. Varón,55429,201,31461,17373,3028,1207,2159,,37445,
2049. Comuna 7,4. Varón trans/masculinidad trans,166,3,78,59,13,10,3,,235,
2049. Comuna 7,5. No binario,184,3,102,61,7,7,4,,122,
2049. Comuna 7,6. Otra identidad/ninguna de las anteriores,87,3,52,22,4,4,2,,124,
2049. Comuna 7,7. Prefiero no contestar,343,7,174,97,16,3,46,,245,
2049. Comuna 7,9. Ignorado,2542,70,1206,745,165,124,232,,9546,
2056. Comuna 8,0. __tot__,95420,7253,50290,25834,3996,2599,5448,,108468,
2056. Comuna 8,1. Mujer,43485,6770,21054,10211,1447,1291,2712,,56193,
2056. Comuna 8,2. Mujer trans/travesti,111,12,52,40,3,,4,,170,
2056. Comuna 8,3. Varón,48493,311,27678,14469,2284,1202,2549,,41795,
2056. Comuna 8,4. Varón trans/masculinidad trans,153,3,84,51,4,6,5,,295,
2056. Comuna 8,5. No binario,67,2,41,15,2,1,6,,76,
2056. Comuna 8,6. Otra identidad/ninguna de las anteriores,41,1,18,13,6,1,2,,82,
2056. Comuna 8,7. Prefiero no contestar,126,6,58,37,5,2,18,,145,
2056. Comuna 8,9. Ignorado,2944,148,1305,998,245,96,152,,9712,
2063. Comuna 9,0. __tot__,84330,3580,45559,25771,3691,2153,3576,,83578,
2063. Comuna 9,1. Mujer,38564,3314,21394,9950,1301,986,1619,,45143,
2063. Comuna 9,2. Mujer trans/travesti,91,13,37,32,6,2,1,,135,
2063. Comuna 9,3. Varón,43449,182,23129,14988,2290,1095,1765,,31494,
2063. Comuna 9,4. Varón trans/masculinidad trans,120,1,60,44,4,5,6,,181,
2063. Comuna 9,5. No binario,98,5,46,34,1,3,9,,91,
2063. Comuna 9,6. Otra identidad/ninguna de las anteriores,44,1,21,15,1,2,4,,73,
2063. Comuna 9,7. Prefiero no contestar,212,7,101,51,2,8,43,,196,
2063. Comuna 9,9. Ignorado,1752,57,771,657,86,52,129,,6265,
2070. Comuna 10,0. __tot__,89898,2866,51290,26572,3920,2008,3242,,81998,
2070. Comuna 10,1. Mujer,42145,2671,25048,10615,1347,967,1497,,44847,
2070. Comuna 10,2. Mujer trans/travesti,94,6,39,35,7,4,3,,97,
2070. Comuna 10,3. Varón,45522,122,25186,15238,2444,988,1544,,30691,
2070. Comuna 10,4. Varón trans/masculinidad trans,97,2,49,35,5,3,3,,211,
2070. Comuna 10,5. No binario,122,4,68,36,3,5,6,,94,
2070. Comuna 10,6. Otra identidad/ninguna de las anteriores,86,3,54,22,2,2,3,,73,
2070. Comuna 10,7. Prefiero no contestar,268,4,135,71,15,3,40,,239,
2070. Comuna 10,9. Ignorado,1564,54,711,520,97,36,146,,5746,
2077. Comuna 11,0. __tot__,107775,2892,61006,32734,5529,2065,3549,,94130,
2077. Comuna 11,1. Mujer,50664,2673,30024,13590,1814,963,1600,,50167,
2077. Comuna 11,2. Mujer trans/travesti,95,7,51,27,2,3,5,,153,
2077. Comuna 11,3. Varón,53177,142,29063,17770,3504,1001,1697,,34128,
2077. Comuna 11,4. Varón trans/masculinidad trans,183,2,93,66,10,6,6,,284,
2077. Comuna 11,5. No binario,184,3,101,67,6,3,4,,157,
2077. Comuna 11,6. Otra identidad/ninguna de las anteriores,115,4,66,32,3,4,6,,136,
2077. Comuna 11,7. Prefiero no contestar,307,5,170,75,7,5,45,,270,
2077. Comuna 11,9. Ignorado,3050,56,1438,1107,183,80,186,,8835,
2084. Comuna 12,0. __tot__,131529,3103,78802,37696,5926,2017,3985,,103835,
2084. Comuna 12,1. Mujer,63129,2830,39393,16105,2088,959,1754,,54737,
2084. Comuna 12,2. Mujer trans/travesti,87,3,47,27,3,3,4,,138,
2084. Comuna 12,3. Varón,64310,155,37429,20284,3611,959,1872,,38182,
2084. Comuna 12,4. Varón trans/masculinidad trans,148,1,73,58,5,6,5,,389,
2084. Comuna 12,5. No binario,276,9,133,112,10,1,11,,167,
2084. Comuna 12,6. Otra identidad/ninguna de las anteriores,125,3,70,35,6,4,7,,127,
2084. Comuna 12,7. Prefiero no contestar,432,5,225,116,14,6,66,,312,
2084. Comuna 12,9. Ignorado,3022,97,1432,959,189,79,266,,9783,
2091. Comuna 13,0. __tot__,147318,3763,82146,45906,8458,2240,4805,,115012,
2091. Comuna 13,1. Mujer,72907,3453,41731,21467,2805,1149,2302,,62352,
2091. Comuna 13,2. Mujer trans/travesti,139,6,71,47,8,4,3,,184,
2091. Comuna 13,3. Varón,70100,174,38347,22963,5441,992,2183,,41197,
2091. Comuna 13,4. Varón trans/masculinidad trans,188,4,95,66,12,6,5,,422,
2091. Comuna 13,5. No binario,256,3,131,105,11,3,3,,146,
2091. Comuna 13,6. Otra identidad/ninguna de las anteriores,118,2,67,41,2,2,4,,156,
2091. Comuna 13,7. Prefiero no contestar,509,2,271,160,13,6,57,,347,
2091. Comuna 13,9. Ignorado,3101,119,1433,1057,166,78,248,,10208,
2098. Comuna 14,0. __tot__,143075,4110,77661,45355,8876,2249,4824,,104177,
2098. Comuna 14,1. Mujer,71034,3751,39040,21741,3049,1130,2323,,56418,
2098. Comuna 14,2. Mujer trans/travesti,160,6,69,67,8,2,8,,203,
2098. Comuna 14,3. Varón,67193,190,36322,22054,5507,1002,2118,,35896,
2098. Comuna 14,4. Varón trans/masculinidad trans,217,4,96,86,22,3,6,,299,
2098. Comuna 14,5. No binario,299,7,150,113,9,8,12,,173,
2098. Comuna 14,6. Otra identidad/ninguna de las anteriores,145,3,67,58,9,3,5,,136,
2098. Comuna 14,7. Prefiero no contestar,510,6,260,140,19,11,74,,388,
2098. Comuna 14,9. Ignorado,3517,143,1657,1096,253,90,278,,10664,
2105. Comuna 15,0. __tot__,112129,4143,63818,34002,4752,1834,3580,,83136,
2105. Comuna 15,1. Mujer,54604,3850,31795,14628,1783,895,1653,,43980,
2105. Comuna 15,2. Mujer trans/travesti,106,6,58,25,5,2,10,,116,
2105. Comuna 15,3. Varón,54371,168,30515,18330,2835,868,1655,,31051,
2105. Comuna 15,4. Varón trans/masculinidad trans,126,2,64,46,7,2,5,,237,
2105. Comuna 15,5. No binario,385,15,186,153,17,5,9,,164,
2105. Comuna 15,6. Otra identidad/ninguna de las anteriores,129,2,73,44,5,1,4,,65,
2105. Comuna 15,7. Prefiero no contestar,451,8,226,144,10,17,46,,311,
2105. Comuna 15,9. Ignorado,1957,92,901,632,90,44,198,,7212,
6007. Adolfo Alsina,0. __tot__,9062,841,4230,2603,674,347,367,,8282,
6007. Adolfo Alsina,1. Mujer,3837,818,1719,887,130,127,156,,4568,
6007. Adolfo Alsina,2. Mujer trans/travesti,12,,7,2,3,,,,12,
6007. Adolfo Alsina,3. Varón,5093,20,2446,1688,533,213,193,,3280,
6007. Adolfo Alsina,4. Varón trans/masculinidad trans,4,,2,1,1,,,,1,
6007. Adolfo Alsina,5. No binario,,,,,,,,,3,
6007. Adolfo Alsina,6. Otra identidad/ninguna de las anteriores,3,,,2,1,,,,,
6007. Adolfo Alsina,7. Prefiero no contestar,12,,4,3,2,1,2,,15,
6007. Adolfo Alsina,9. Ignorado,101,3,52,20,4,6,16,,403,
6014. Adolfo Gonzales Chaves,0. __tot__,6350,576,3088,1680,499,269,238,,6497,
6014. Adolfo Gonzales Chaves,1. Mujer,2689,548,1247,582,112,91,109,,3522,
6014. Adolfo Gonzales Chaves,2. Mujer trans/travesti,6,2,1,1,2,,,,6,
6014. Adolfo Gonzales Chaves,3. Varón,3496,17,1756,1064,375,167,117,,2398,
6014. Adolfo Gonzales Chaves,4. Varón trans/masculinidad trans,5,,1,1,,1,2,,3,
6014. Adolfo Gonzales Chaves,5. No binario,,,,,,,,,5,
6014. Adolfo Gonzales Chaves,6. Otra identidad/ninguna de las anteriores,,,,,,,,,2,
6014. Adolfo Gonzales Chaves,7. Prefiero no contestar,7,1,2,2,1,,1,,9,
6014. Adolfo Gonzales Chaves,9. Ignorado,147,8,81,30,9,10,9,,552,
6021. Alberti,0. __tot__,6151,540,3099,1728,383,211,190,,6755,
6021. Alberti,1. Mujer,2581,519,1202,589,95,92,84,,3560,
6021. Alberti,2. Mujer trans/travesti,7,1,5,1,,,,,9,
6021. Alberti,3. Varón,3375,14,1804,1076,275,114,92,,2443,
6021. Alberti,4. Varón trans/masculinidad trans,6,,4,2,,,,,24,
6021. Alberti,5. No binario,3,2,,1,,,,,16,
6021. Alberti,6. Otra identidad/ninguna de las anteriores,2,,2,,,,,,17,
6021. Alberti,7. Prefiero no contestar,12,,5,4,2,,1,,12,
6021. Alberti,9. Ignorado,165,4,77,55,11,5,13,,674,
6028. Almirante Brown,0. __tot__,262352,20612,138041,74197,11135,6507,11860,,320857,
6028. Almirante Brown,1. Mujer,111787,19488,50852,29345,3558,3017,5527,,170952,
6028. Almirante Brown,2. Mujer trans/travesti,311,31,139,98,13,14,16,,451,
6028. Almirante Brown,3. Varón,143236,722,83699,42577,7190,3303,5745,,121118,
6028. Almirante Brown,4. Varón trans/masculinidad trans,335,11,177,112,20,10,5,,642,
6028. Almirante Brown,5. No binario,176,11,85,65,1,8,6,,203,
6028. Almirante Brown,6. Otra identidad/ninguna de las anteriores,80,3,38,28,3,2,6,,108,
6028. Almirante Brown,7. Prefiero no contestar,326,19,139,90,12,12,54,,328,
6028. Almirante Brown,9. Ignorado,6101,327,2912,1882,338,141,501,,27055,
6035. Avellaneda,0. __tot__,175109,10104,101847,44630,7238,3971,7319,,191008,
6035. Avellaneda,1. Mujer,79563,9579,44415,17718,2595,1818,3438,,103933,
6035. Avellaneda,2. Mujer trans/travesti,164,15,79,50,6,6,8,,229,
6035. Avellaneda,3. Varón,92056,384,55633,25950,4476,2058,3555,,72940,
6035. Avellaneda,4. Varón trans/masculinidad trans,159,2,90,46,12,4,5,,262,
6035. Avellaneda,5. No binario,155,4,81,49,7,4,10,,129,
6035. Avellaneda,6. Otra identidad/ninguna de las anteriores,69,3,41,17,1,2,5,,76,
6035. Avellaneda,7. Prefiero no contestar,335,12,192,79,8,5,39,,284,
6035. Avellaneda,9. Ignorado,2608,105,1316,721,133,74,259,,13155,
6042. Ayacucho,0. __tot__,10466,1018,5384,2681,669,340,374,,11291,
6042. Ayacucho,1. Mujer,4413,982,2127,840,162,127,175,,6197,
6042. Ayacucho,2. Mujer trans/travesti,12,4,7,,1,,,,18,
6042. Ayacucho,3. Varón,5928,28,3198,1802,498,208,194,,4255,
6042. Ayacucho,4. Varón trans/masculinidad trans,8,,6,2,,,,,17,
6042. Ayacucho,5. No binario,8,,5,3,,,,,9,
6042. Ayacucho,6. Otra identidad/ninguna de las anteriores,1,,,1,,,,,6,
6042. Ayacucho,7. Prefiero no contestar,6,,5,,,1,,,21,
6042. Ayacucho,9. Ignorado,90,4,36,33,8,4,5,,768,
6049. Azul,0. __tot__,34520,3243,17475,9440,2121,987,1254,,40632,
6049. Azul,1. Mujer,14824,3137,6896,3326,535,388,542,,21214,
6049. Azul,2. Mujer trans/travesti,43,8,15,18,2,,,,82,
6049. Azul,3. Varón,18673,68,10101,5794,1495,548,667,,15080,
6049. Azul,4. Varón trans/masculinidad trans,44,,23,16,4,,1,,120,
6049. Azul,5. No binario,35,2,12,13,2,3,3,,116,
6049. Azul,6. Otra identidad/ninguna de las anteriores,21,4,8,3,3,2,1,,35,
6049. Azul,7. Prefiero no contestar,36,2,16,10,5,1,2,,72,
6049. Azul,9. Ignorado,844,22,404,260,75,45,38,,3913,
6056. Bahía Blanca,0. __tot__,157184,10991,86248,43361,7916,3601,5067,,177321,
6056. Bahía Blanca,1. Mujer,69058,10578,34817,17523,2312,1531,2297,,93446,
6056. Bahía Blanca,2. Mujer trans/travesti,124,18,53,42,5,2,4,,184,
6056. Bahía Blanca,3. Varón,83595,292,49302,24213,5317,1934,2537,,66728,
6056. Bahía Blanca,4. Varón trans/masculinidad trans,173,3,95,55,12,4,4,,362,
6056. Bahía Blanca,5. No binario,141,6,59,61,6,4,5,,181,
6056. Bahía Blanca,6. Otra identidad/ninguna de las anteriores,57,2,28,20,2,2,3,,101,
6056. Bahía Blanca,7. Prefiero no contestar,268,4,125,89,5,8,37,,255,
6056. Bahía Blanca,9. Ignorado,3768,88,1769,1358,257,116,180,,16064,
6063. Balcarce,0. __tot__,22736,1998,11594,6314,1404,652,774,,25780,
6063. Balcarce,1. Mujer,9490,1932,4347,2266,345,268,332,,13993,
6063. Balcarce,2. Mujer trans/travesti,16,1,9,3,3,,,,52,
6063. Balcarce,3. Varón,12821,55,7031,3920,1029,371,415,,9523,
6063. Balcarce,4. Varón trans/masculinidad trans,28,,18,8,1,,1,,67,
6063. Balcarce,5. No binario,9,,3,6,,,,,19,
6063. Balcarce,6. Otra identidad/ninguna de las anteriores,3,,1,1,,,1,,14,
6063. Balcarce,7. Prefiero no contestar,26,1,16,5,2,,2,,26,
6063. Balcarce,9. Ignorado,343,9,169,105,24,13,23,,2086,
6070. Baradero,0. __tot__,17811,1365,9956,4548,920,525,497,,21412,
6070. Baradero,1. Mujer,7200,1255,3556,1705,259,223,202,,11266,
6070. Baradero,2. Mujer trans/travesti,32,6,13,7,2,4,,,53,
6070. Baradero,3. Varón,9768,76,5981,2588,609,261,253,,7877,
6070. Baradero,4. Varón trans/masculinidad trans,68,5,23,28,2,7,3,,138,
6070. Baradero,5. No binario,20,1,8,7,2,1,1,,25,
6070. Baradero,6. Otra identidad/ninguna de las anteriores,18,,11,3,,,4,,27,
6070. Baradero,7. Prefiero no contestar,24,3,13,4,1,1,2,,50,
6070. Baradero,9. Ignorado,681,19,351,206,45,28,32,,1976,
6077. Arrecifes,0. __tot__,15136,1298,7735,4263,909,461,470,,16941,
6077. Arrecifes,1. Mujer,6473,1235,2966,1618,251,193,210,,9484,
6077. Arrecifes,2. Mujer trans/travesti,16,1,10,4,,,1,,19,
6077. Arrecifes,3. Varón,8449,46,4658,2594,652,263,236,,6451,
6077. Arrecifes,4. Varón trans/masculinidad trans,11,,5,4,,,2,,9,
6077. Arrecifes,5. No binario,2,,,1,,,1,,4,
6077. Arrecifes,6. Otra identidad/ninguna de las anteriores,7,,3,4,,,,,2,
6077. Arrecifes,7. Prefiero no contestar,15,1,8,2,,,4,,22,
6077. Arrecifes,9. Ignorado,163,15,85,36,6,5,16,,950,
6084. Benito Juárez,0. __tot__,9789,853,5126,2615,583,315,297,,11396,
6084. Benito Juárez,1. Mujer,4129,817,2045,852,140,124,151,,5888,
6084. Benito Juárez,2. Mujer trans/travesti,7,2,1,3,1,,,,33,
6084. Benito Juárez,3. Varón,5343,20,2915,1671,428,176,133,,4275,
6084. Benito Juárez,4. Varón trans/masculinidad trans,13,1,8,3,,,1,,34,
6084. Benito Juárez,5. No binario,2,1,1,,,,,,23,
6084. Benito Juárez,6. Otra identidad/ninguna de las anteriores,5,,1,1,1,,2,,5,
6084. Benito Juárez,7. Prefiero no contestar,11,,6,3,,1,1,,17,
6084. Benito Juárez,9. Ignorado,279,12,149,82,13,14,9,,1121,
6091. Berazategui,0. __tot__,162531,12247,86259,45110,7616,4261,7038,,195797,
6091. Berazategui,1. Mujer,70263,11634,32830,17962,2511,1928,3398,,104983,
6091. Berazategui,2. Mujer trans/travesti,167,25,73,39,14,2,14,,249,
6091. Berazategui,3. Varón,89071,469,51851,26215,4916,2242,3378,,75368,
6091. Berazategui,4. Varón trans/masculinidad trans,213,5,118,58,12,10,10,,316,
6091. Berazategui,5. No binario,99,4,54,29,3,4,5,,115,
6091. Berazategui,6. Otra identidad/ninguna de las anteriores,53,4,30,13,2,2,2,,52,
6091. Berazategui,7. Prefiero no contestar,234,9,121,50,7,10,37,,268,
6091. Berazategui,9. Ignorado,2431,97,1182,744,151,63,194,,14446,
6098. Berisso,0. __tot__,46103,3444,27514,10359,1829,1061,1896,,54582,
6098. Berisso,1. Mujer,20896,3256,11579,4019,621,487,934,,28700,
6098. Berisso,2. Mujer trans/travesti,78,8,40,24,3,,3,,72,
6098. Berisso,3. Varón,24212,141,15425,6065,1141,549,891,,21607,
6098. Berisso,4. Varón trans/masculinidad trans,60,3,33,15,5,3,1,,133,
6098. Berisso,5. No binario,46,1,19,21,1,3,1,,42,
6098. Berisso,6. Otra identidad/ninguna de las anteriores,27,4,12,5,2,,4,,21,
6098. Berisso,7. Prefiero no contestar,58,3,34,12,,3,6,,60,
6098. Berisso,9. Ignorado,726,28,372,198,56,16,56,,3947,
6105. Bolívar,0. __tot__,17844,1629,8822,5097,1154,595,547,,19350,
6105. Bolívar,1. Mujer,7572,1578,3575,1609,294,251,265,,10604,
6105. Bolívar,2. Mujer trans/travesti,17,1,10,6,,,,,56,
6105. Bolívar,3. Varón,9859,38,5035,3357,829,333,267,,7018,
6105. Bolívar,4. Varón trans/masculinidad trans,33,,20,12,1,,,,90,
6105. Bolívar,5. No binario,11,,7,3,1,,,,16,
6105. Bolívar,6. Otra identidad/ninguna de las anteriores,3,,2,1,,,,,12,
6105. Bolívar,7. Prefiero no contestar,18,2,11,3,1,,1,,26,
6105. Bolívar,9. Ignorado,331,10,162,106,28,11,14,,1528,
6112. Bragado,0. __tot__,21690,1755,10730,6496,1348,703,658,,24537,
6112. Bragado,1. Mujer,9237,1703,4254,2332,367,293,288,,12519,
6112. Bragado,2. Mujer trans/travesti,20,1,10,4,3,2,,,54,
6112. Bragado,3. Varón,11505,30,6020,3852,894,360,349,,8908,
6112. Bragado,4. Varón trans/masculinidad trans,51,1,24,16,7,1,2,,94,
6112. Bragado,5. No binario,22,,7,10,4,1,,,30,
6112. Bragado,6. Otra identidad/ninguna de las anteriores,20,3,10,5,1,1,,,28,
6112. Bragado,7. Prefiero no contestar,30,,17,5,2,2,4,,40,
6112. Bragado,9. Ignorado,805,17,388,272,70,43,15,,2864,
6119. Brandsen,0. __tot__,15215,1150,8098,4201,736,522,508,,17135,
6119. Brandsen,1. Mujer,6505,1079,3169,1580,202,237,238,,9265,
6119. Brandsen,2. Mujer trans/travesti,13,2,5,4,1,1,,,25,
6119. Brandsen,3. Varón,8425,54,4793,2541,516,272,249,,6741,
6119. Brandsen,4. Varón trans/masculinidad trans,16,1,9,4,1,1,,,23,
6119. Brandsen,5. No binario,5,,3,1,,1,,,11,
6119. Brandsen,6. Otra identidad/ninguna de las anteriores,3,,,3,,,,,8,
6119. Brandsen,7. Prefiero no contestar,23,1,15,5,1,1,,,48,
6119. Brandsen,9. Ignorado,225,13,104,63,15,9,21,,1014,
6126. Campana,0. __tot__,48443,3051,28115,11895,2148,1344,1890,,59533,
6126. Campana,1. Mujer,20505,2869,10280,5208,674,597,877,,32230,
6126. Campana,2. Mujer trans/travesti,47,4,26,11,3,,3,,92,
6126. Campana,3. Varón,27093,139,17352,6496,1431,727,948,,23736,
6126. Campana,4. Varón trans/masculinidad trans,54,2,23,23,3,2,1,,86,
6126. Campana,5. No binario,27,1,20,3,1,,2,,21,
6126. Campana,6. Otra identidad/ninguna de las anteriores,13,,10,2,1,,,,20,
6126. Campana,7. Prefiero no contestar,64,3,42,10,3,1,5,,62,
6126. Campana,9. Ignorado,640,33,362,142,32,17,54,,3286,
6134. Cañuelas,0. __tot__,32944,2453,17393,8990,1704,1016,1388,,37598,
6134. Cañuelas,1. Mujer,13883,2300,6526,3435,522,455,645,,20408,
6134. Cañuelas,2. Mujer trans/travesti,34,3,13,13,,1,4,,50,
6134. Cañuelas,3. Varón,18399,117,10606,5342,1150,537,647,,14788,
6134. Cañuelas,4. Varón trans/masculinidad trans,28,3,10,14,1,,,,30,
6134. Cañuelas,5. No binario,25,5,7,10,1,,2,,14,
6134. Cañuelas,6. Otra identidad/ninguna de las anteriores,17,1,8,5,1,,2,,14,
6134. Cañuelas,7. Prefiero no contestar,39,1,17,10,1,2,8,,30,
6134. Cañuelas,9. Ignorado,519,23,206,161,28,21,80,,2264,
6140. Capitán Sarmiento,0. __tot__,8097,672,4520,1906,494,235,270,,7785,
6140. Capitán Sarmiento,1. Mujer,3497,643,1752,748,138,99,117,,4402,
6140. Capitán Sarmiento,2. Mujer trans/travesti,8,3,3,2,,,,,13,
6140. Capitán Sarmiento,3. Varón,4510,24,2720,1139,350,133,144,,2895,
6140. Capitán Sarmiento,4. Varón trans/masculinidad trans,4,,4,,,,,,9,
6140. Capitán Sarmiento,5. No binario,2,,2,,,,,,5,
6140. Capitán Sarmiento,6. Otra identidad/ninguna de las anteriores,2,,2,,,,,,2,
6140. Capitán Sarmiento,7. Prefiero no contestar,6,,1,2,,1,2,,5,
6140. Capitán Sarmiento,9. Ignorado,68,2,36,15,6,2,7,,454,
6147. Carlos Casares,0. __tot__,11770,1127,5843,3349,737,382,332,,11135,
6147. Carlos Casares,1. Mujer,5090,1099,2358,1155,178,154,146,,6331,
6147. Carlos Casares,2. Mujer trans/travesti,9,2,3,1,3,,,,9,
6147. Carlos Casares,3. Varón,6564,22,3435,2166,550,225,166,,4321,
6147. Carlos Casares,4. Varón trans/masculinidad trans,8,,3,2,1,,2,,7,
6147. Carlos Casares,5. No binario,4,1,2,1,,,,,3,
6147. Carlos Casares,6. Otra identidad/ninguna de las anteriores,3,,3,,,,,,1,
6147. Carlos Casares,7. Prefiero no contestar,8,,3,3,,1,1,,7,
6147. Carlos Casares,9. Ignorado,84,3,36,21,5,2,17,,456,
6154. Carlos Tejedor,0. __tot__,6532,528,3327,1749,440,257,231,,7475,
6154. Carlos Tejedor,1. Mujer,2589,504,1267,531,99,91,97,,3325,
6154. Carlos Tejedor,2. Mujer trans/travesti,14,,8,5,,,1,,57,
6154. Carlos Tejedor,3. Varón,3560,16,1843,1111,315,145,130,,2330,
6154. Carlos Tejedor,4. Varón trans/masculinidad trans,30,,14,11,3,2,,,98,
6154. Carlos Tejedor,5. No binario,4,,2,1,1,,,,19,
6154. Carlos Tejedor,6. Otra identidad/ninguna de las anteriores,4,,2,2,,,,,13,
6154. Carlos Tejedor,7. Prefiero no contestar,6,,2,3,1,,,,17,
6154. Carlos Tejedor,9. Ignorado,325,8,189,85,21,19,3,,1616,
6161. Carmen de Areco,0. __tot__,8501,695,4715,2037,540,249,265,,8844,
